,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior,Variacion Trimestral
15,2022-01-01,4,Río Negro,"68,42","28,7","-58,05"
856,2014-01-01,1,Salta,"28,7","28,91","0,73"
832,2014-01-01,2,Salta,"28,91","29,22","1,07"
808,2014-01-01,3,Salta,"29,22","29,53","1,06"
784,2014-01-01,4,Salta,"29,53","30,01","1,63"
760,2015-01-01,1,Salta,"30,01","30,46","1,5"
736,2015-01-01,2,Salta,"30,46","31,18","2,36"
712,2015-01-01,3,Salta,"31,18","31,59","1,31"
688,2015-01-01,4,Salta,"31,59","31,32","-0,85"
664,2016-01-01,1,Salta,"31,32","32,08","2,43"
640,2016-01-01,2,Salta,"32,08","32,96","2,74"
616,2016-01-01,3,Salta,"32,96","32,69","-0,82"
592,2016-01-01,4,Salta,"32,69","32,58","-0,34"
568,2017-01-01,1,Salta,"32,58","32,74","0,49"
544,2017-01-01,2,Salta,"32,74","39,84","21,69"
520,2017-01-01,3,Salta,"39,84","39,8","-0,1"
496,2017-01-01,4,Salta,"39,8","39,78","-0,05"
472,2018-01-01,1,Salta,"39,78","39,94","0,4"
448,2018-01-01,2,Salta,"39,94","39,43","-1,28"
424,2018-01-01,3,Salta,"39,43","39,8","0,94"
400,2018-01-01,4,Salta,"39,8","40,1","0,75"
376,2019-01-01,1,Salta,"40,1","41,89","4,46"
352,2019-01-01,2,Salta,"41,89","44,48","6,18"
328,2019-01-01,3,Salta,"44,48","50,35","13,2"
304,2019-01-01,4,Salta,"50,35","49,6","-1,49"
280,2020-01-01,1,Salta,"49,6","51,58","3,99"
256,2020-01-01,2,Salta,"51,58","52,32","1,43"
232,2020-01-01,3,Salta,"52,32","54,04","3,29"
208,2020-01-01,4,Salta,"54,04","53,93","-0,2"
184,2021-01-01,1,Salta,"53,93","54,93","1,85"
160,2021-01-01,2,Salta,"54,93","55,96","1,88"
136,2021-01-01,3,Salta,"55,96","56,81","1,52"
112,2021-01-01,4,Salta,"56,81","56,11","-1,23"
88,2022-01-01,1,Salta,"56,11","57,54","2,55"
64,2022-01-01,2,Salta,"57,54","57,76","0,38"
40,2022-01-01,3,Salta,"57,76","57,96","0,35"
16,2022-01-01,4,Salta,"57,96","27,6","-52,38"
857,2014-01-01,1,San Juan,"27,6","27,78","0,65"
833,2014-01-01,2,San Juan,"27,78","27,85","0,25"
809,2014-01-01,3,San Juan,"27,85","28,04","0,68"
785,2014-01-01,4,San Juan,"28,04","27,55","-1,75"
761,2015-01-01,1,San Juan,"27,55","27,64","0,33"
737,2015-01-01,2,San Juan,"27,64","27,67","0,11"
713,2015-01-01,3,San Juan,"27,67","27,66","-0,04"
689,2015-01-01,4,San Juan,"27,66","27,33","-1,19"
665,2016-01-01,1,San Juan,"27,33","27,34","0,04"
641,2016-01-01,2,San Juan,"27,34","27,32","-0,07"
617,2016-01-01,3,San Juan,"27,32","27,29","-0,11"
593,2016-01-01,4,San Juan,"27,29","27,04","-0,92"
569,2017-01-01,1,San Juan,"27,04","26,96","-0,3"
545,2017-01-01,2,San Juan,"26,96","32,37","20,07"
521,2017-01-01,3,San Juan,"32,37","30,3","-6,39"
497,2017-01-01,4,San Juan,"30,3","32,61","7,62"
473,2018-01-01,1,San Juan,"32,61","32,95","1,04"
449,2018-01-01,2,San Juan,"32,95","33,05","0,3"
425,2018-01-01,3,San Juan,"33,05","31,9","-3,48"
401,2018-01-01,4,San Juan,"31,9","31,83","-0,22"
377,2019-01-01,1,San Juan,"31,83","35,6","11,84"
353,2019-01-01,2,San Juan,"35,6","37,06","4,1"
329,2019-01-01,3,San Juan,"37,06","32,85","-11,36"
305,2019-01-01,4,San Juan,"32,85","32,39","-1,4"
281,2020-01-01,1,San Juan,"32,39","35,09","8,34"
257,2020-01-01,2,San Juan,"35,09","38,79","10,54"
233,2020-01-01,3,San Juan,"38,79","36,32","-6,37"
209,2020-01-01,4,San Juan,"36,32","39,06","7,54"
185,2021-01-01,1,San Juan,"39,06","39,28","0,56"
161,2021-01-01,2,San Juan,"39,28","39,46","0,46"
137,2021-01-01,3,San Juan,"39,46","39,59","0,33"
113,2021-01-01,4,San Juan,"39,59","43,55","10,0"
89,2022-01-01,1,San Juan,"43,55","49,46","13,57"
65,2022-01-01,2,San Juan,"49,46","50,8","2,71"
41,2022-01-01,3,San Juan,"50,8","50,88","0,16"
17,2022-01-01,4,San Juan,"50,88","9,35","-81,62"
858,2014-01-01,1,San Luis,"9,35","9,72","3,96"
834,2014-01-01,2,San Luis,"9,72","9,71","-0,1"
810,2014-01-01,3,San Luis,"9,71","9,79","0,82"
786,2014-01-01,4,San Luis,"9,79","9,72","-0,72"
762,2015-01-01,1,San Luis,"9,72","9,71","-0,1"
738,2015-01-01,2,San Luis,"9,71","9,71","0,0"
714,2015-01-01,3,San Luis,"9,71","9,71","0,0"
690,2015-01-01,4,San Luis,"9,71","9,59","-1,24"
666,2016-01-01,1,San Luis,"9,59","9,6","0,1"
642,2016-01-01,2,San Luis,"9,6","9,63","0,31"
618,2016-01-01,3,San Luis,"9,63","9,64","0,1"
594,2016-01-01,4,San Luis,"9,64","9,55","-0,93"
570,2017-01-01,1,San Luis,"9,55","9,51","-0,42"
546,2017-01-01,2,San Luis,"9,51","15,48","62,78"
522,2017-01-01,3,San Luis,"15,48","10,59","-31,59"
498,2017-01-01,4,San Luis,"10,59","15,15","43,06"
474,2018-01-01,1,San Luis,"15,15","15,15","0,0"
450,2018-01-01,2,San Luis,"15,15","52,35","245,54"
426,2018-01-01,3,San Luis,"52,35","67,55","29,04"
402,2018-01-01,4,San Luis,"67,55","67,34","-0,31"
378,2019-01-01,1,San Luis,"67,34","81,79","21,46"
354,2019-01-01,2,San Luis,"81,79","85,23","4,21"
330,2019-01-01,3,San Luis,"85,23","74,92","-12,1"
306,2019-01-01,4,San Luis,"74,92","76,31","1,86"
282,2020-01-01,1,San Luis,"76,31","78,41","2,75"
258,2020-01-01,2,San Luis,"78,41","79,96","1,98"
234,2020-01-01,3,San Luis,"79,96","81,68","2,15"
210,2020-01-01,4,San Luis,"81,68","81,24","-0,54"
186,2021-01-01,1,San Luis,"81,24","83,48","2,76"
162,2021-01-01,2,San Luis,"83,48","79,87","-4,32"
138,2021-01-01,3,San Luis,"79,87","80,3","0,54"
114,2021-01-01,4,San Luis,"80,3","80,72","0,52"
90,2022-01-01,1,San Luis,"80,72","81,76","1,29"
66,2022-01-01,2,San Luis,"81,76","81,74","-0,02"
42,2022-01-01,3,San Luis,"81,74","90,27","10,44"
18,2022-01-01,4,San Luis,"90,27","28,94","-67,94"
859,2014-01-01,1,Santa Cruz,"28,94","29,38","1,52"
835,2014-01-01,2,Santa Cruz,"29,38","28,23","-3,91"
811,2014-01-01,3,Santa Cruz,"28,23","27,8","-1,52"
787,2014-01-01,4,Santa Cruz,"27,8","27,99","0,68"
763,2015-01-01,1,Santa Cruz,"27,99","27,07","-3,29"
739,2015-01-01,2,Santa Cruz,"27,07","27,61","1,99"
715,2015-01-01,3,Santa Cruz,"27,61","27,74","0,47"
691,2015-01-01,4,Santa Cruz,"27,74","26,87","-3,14"
667,2016-01-01,1,Santa Cruz,"26,87","26,73","-0,52"
643,2016-01-01,2,Santa Cruz,"26,73","26,84","0,41"
619,2016-01-01,3,Santa Cruz,"26,84","27,05","0,78"
595,2016-01-01,4,Santa Cruz,"27,05","26,52","-1,96"
571,2017-01-01,1,Santa Cruz,"26,52","26,25","-1,02"
547,2017-01-01,2,Santa Cruz,"26,25","33,29","26,82"
523,2017-01-01,3,Santa Cruz,"33,29","28,91","-13,16"
499,2017-01-01,4,Santa Cruz,"28,91","33,55","16,05"
475,2018-01-01,1,Santa Cruz,"33,55","33,33","-0,66"
451,2018-01-01,2,Santa Cruz,"33,33","32,73","-1,8"
427,2018-01-01,3,Santa Cruz,"32,73","23,69","-27,62"
403,2018-01-01,4,Santa Cruz,"23,69","23,67","-0,08"
379,2019-01-01,1,Santa Cruz,"23,67","28,85","21,88"
355,2019-01-01,2,Santa Cruz,"28,85","35,63","23,5"
331,2019-01-01,3,Santa Cruz,"35,63","36,71","3,03"
307,2019-01-01,4,Santa Cruz,"36,71","35,97","-2,02"
283,2020-01-01,1,Santa Cruz,"35,97","35,79","-0,5"
259,2020-01-01,2,Santa Cruz,"35,79","35,95","0,45"
235,2020-01-01,3,Santa Cruz,"35,95","37,0","2,92"
211,2020-01-01,4,Santa Cruz,"37,0","41,65","12,57"
187,2021-01-01,1,Santa Cruz,"41,65","44,01","5,67"
163,2021-01-01,2,Santa Cruz,"44,01","43,75","-0,59"
139,2021-01-01,3,Santa Cruz,"43,75","43,05","-1,6"
115,2021-01-01,4,Santa Cruz,"43,05","43,34","0,67"
91,2022-01-01,1,Santa Cruz,"43,34","43,15","-0,44"
67,2022-01-01,2,Santa Cruz,"43,15","43,19","0,09"
43,2022-01-01,3,Santa Cruz,"43,19","43,53","0,79"
19,2022-01-01,4,Santa Cruz,"43,53","47,85","9,92"
860,2014-01-01,1,Santa Fe,"47,85","48,39","1,13"
836,2014-01-01,2,Santa Fe,"48,39","49,2","1,67"
812,2014-01-01,3,Santa Fe,"49,2","50,0","1,63"
788,2014-01-01,4,Santa Fe,"50,0","50,24","0,48"
764,2015-01-01,1,Santa Fe,"50,24","51,18","1,87"
740,2015-01-01,2,Santa Fe,"51,18","52,15","1,9"
716,2015-01-01,3,Santa Fe,"52,15","52,61","0,88"
692,2015-01-01,4,Santa Fe,"52,61","51,28","-2,53"
668,2016-01-01,1,Santa Fe,"51,28","52,44","2,26"
644,2016-01-01,2,Santa Fe,"52,44","52,67","0,44"
620,2016-01-01,3,Santa Fe,"52,67","52,19","-0,91"
596,2016-01-01,4,Santa Fe,"52,19","51,97","-0,42"
572,2017-01-01,1,Santa Fe,"51,97","52,27","0,58"
548,2017-01-01,2,Santa Fe,"52,27","60,91","16,53"
524,2017-01-01,3,Santa Fe,"60,91","61,71","1,31"
500,2017-01-01,4,Santa Fe,"61,71","62,28","0,92"
476,2018-01-01,1,Santa Fe,"62,28","62,57","0,47"
452,2018-01-01,2,Santa Fe,"62,57","63,41","1,34"
428,2018-01-01,3,Santa Fe,"63,41","65,59","3,44"
404,2018-01-01,4,Santa Fe,"65,59","66,97","2,1"
380,2019-01-01,1,Santa Fe,"66,97","67,42","0,67"
356,2019-01-01,2,Santa Fe,"67,42","68,87","2,15"
332,2019-01-01,3,Santa Fe,"68,87","69,48","0,89"
308,2019-01-01,4,Santa Fe,"69,48","69,52","0,06"
284,2020-01-01,1,Santa Fe,"69,52","70,0","0,69"
260,2020-01-01,2,Santa Fe,"70,0","72,12","3,03"
236,2020-01-01,3,Santa Fe,"72,12","73,58","2,02"
212,2020-01-01,4,Santa Fe,"73,58","73,92","0,46"
188,2021-01-01,1,Santa Fe,"73,92","75,07","1,56"
164,2021-01-01,2,Santa Fe,"75,07","75,02","-0,07"
140,2021-01-01,3,Santa Fe,"75,02","77,09","2,76"
116,2021-01-01,4,Santa Fe,"77,09","77,3","0,27"
92,2022-01-01,1,Santa Fe,"77,3","77,9","0,78"
68,2022-01-01,2,Santa Fe,"77,9","78,55","0,83"
44,2022-01-01,3,Santa Fe,"78,55","78,4","-0,19"
20,2022-01-01,4,Santa Fe,"78,4","16,31","-79,2"
861,2014-01-01,1,Santiago Del Estero,"16,31","16,7","2,39"
837,2014-01-01,2,Santiago Del Estero,"16,7","16,49","-1,26"
813,2014-01-01,3,Santiago Del Estero,"16,49","17,27","4,73"
789,2014-01-01,4,Santiago Del Estero,"17,27","17,06","-1,22"
765,2015-01-01,1,Santiago Del Estero,"17,06","17,11","0,29"
741,2015-01-01,2,Santiago Del Estero,"17,11","17,12","0,06"
717,2015-01-01,3,Santiago Del Estero,"17,12","17,0","-0,7"
693,2015-01-01,4,Santiago Del Estero,"17,0","16,21","-4,65"
669,2016-01-01,1,Santiago Del Estero,"16,21","15,89","-1,97"
645,2016-01-01,2,Santiago Del Estero,"15,89","15,33","-3,52"
621,2016-01-01,3,Santiago Del Estero,"15,33","15,07","-1,7"
597,2016-01-01,4,Santiago Del Estero,"15,07","14,7","-2,46"
573,2017-01-01,1,Santiago Del Estero,"14,7","14,12","-3,95"
549,2017-01-01,2,Santiago Del Estero,"14,12","35,12","148,73"
525,2017-01-01,3,Santiago Del Estero,"35,12","29,13","-17,06"
501,2017-01-01,4,Santiago Del Estero,"29,13","34,99","20,12"
477,2018-01-01,1,Santiago Del Estero,"34,99","35,26","0,77"
453,2018-01-01,2,Santiago Del Estero,"35,26","36,25","2,81"
429,2018-01-01,3,Santiago Del Estero,"36,25","37,4","3,17"
405,2018-01-01,4,Santiago Del Estero,"37,4","37,52","0,32"
381,2019-01-01,1,Santiago Del Estero,"37,52","52,79","40,7"
357,2019-01-01,2,Santiago Del Estero,"52,79","55,3","4,75"
333,2019-01-01,3,Santiago Del Estero,"55,3","42,92","-22,39"
309,2019-01-01,4,Santiago Del Estero,"42,92","42,47","-1,05"
285,2020-01-01,1,Santiago Del Estero,"42,47","43,47","2,35"
261,2020-01-01,2,Santiago Del Estero,"43,47","43,38","-0,21"
237,2020-01-01,3,Santiago Del Estero,"43,38","43,75","0,85"
213,2020-01-01,4,Santiago Del Estero,"43,75","45,67","4,39"
189,2021-01-01,1,Santiago Del Estero,"45,67","46,56","1,95"
165,2021-01-01,2,Santiago Del Estero,"46,56","47,0","0,95"
141,2021-01-01,3,Santiago Del Estero,"47,0","47,05","0,11"
117,2021-01-01,4,Santiago Del Estero,"47,05","47,17","0,26"
93,2022-01-01,1,Santiago Del Estero,"47,17","47,7","1,12"
69,2022-01-01,2,Santiago Del Estero,"47,7","47,98","0,59"
45,2022-01-01,3,Santiago Del Estero,"47,98","48,05","0,15"
21,2022-01-01,4,Santiago Del Estero,"48,05","63,97","33,13"
862,2014-01-01,1,Tierra Del Fuego,"63,97","64,36","0,61"
838,2014-01-01,2,Tierra Del Fuego,"64,36","65,69","2,07"
814,2014-01-01,3,Tierra Del Fuego,"65,69","66,14","0,69"
790,2014-01-01,4,Tierra Del Fuego,"66,14","74,23","12,23"
766,2015-01-01,1,Tierra Del Fuego,"74,23","74,51","0,38"
742,2015-01-01,2,Tierra Del Fuego,"74,51","74,86","0,47"
718,2015-01-01,3,Tierra Del Fuego,"74,86","66,46","-11,22"
694,2015-01-01,4,Tierra Del Fuego,"66,46","65,83","-0,95"
670,2016-01-01,1,Tierra Del Fuego,"65,83","67,72","2,87"
646,2016-01-01,2,Tierra Del Fuego,"67,72","68,94","1,8"
622,2016-01-01,3,Tierra Del Fuego,"68,94","70,31","1,99"
598,2016-01-01,4,Tierra Del Fuego,"70,31","68,92","-1,98"
574,2017-01-01,1,Tierra Del Fuego,"68,92","68,46","-0,67"
550,2017-01-01,2,Tierra Del Fuego,"68,46","65,74","-3,97"
526,2017-01-01,3,Tierra Del Fuego,"65,74","59,89","-8,9"
502,2017-01-01,4,Tierra Del Fuego,"59,89","65,2","8,87"
478,2018-01-01,1,Tierra Del Fuego,"65,2","91,61","40,51"
454,2018-01-01,2,Tierra Del Fuego,"91,61","92,77","1,27"
430,2018-01-01,3,Tierra Del Fuego,"92,77","93,59","0,88"
406,2018-01-01,4,Tierra Del Fuego,"93,59","93,38","-0,22"
382,2019-01-01,1,Tierra Del Fuego,"93,38","94,8","1,52"
358,2019-01-01,2,Tierra Del Fuego,"94,8","96,46","1,75"
334,2019-01-01,3,Tierra Del Fuego,"96,46","79,7","-17,38"
310,2019-01-01,4,Tierra Del Fuego,"79,7","76,07","-4,55"
286,2020-01-01,1,Tierra Del Fuego,"76,07","76,37","0,39"
262,2020-01-01,2,Tierra Del Fuego,"76,37","76,81","0,58"
238,2020-01-01,3,Tierra Del Fuego,"76,81","76,27","-0,7"
214,2020-01-01,4,Tierra Del Fuego,"76,27","77,35","1,42"
190,2021-01-01,1,Tierra Del Fuego,"77,35","67,89","-12,23"
166,2021-01-01,2,Tierra Del Fuego,"67,89","94,95","39,86"
142,2021-01-01,3,Tierra Del Fuego,"94,95","98,4","3,63"
118,2021-01-01,4,Tierra Del Fuego,"98,4","98,29","-0,11"
94,2022-01-01,1,Tierra Del Fuego,"98,29","99,86","1,6"
70,2022-01-01,2,Tierra Del Fuego,"99,86","99,51","-0,35"
46,2022-01-01,3,Tierra Del Fuego,"99,51","101,44","1,94"
22,2022-01-01,4,Tierra Del Fuego,"101,44","33,42","-67,05"
863,2014-01-01,1,Tucumán,"33,42","33,94","1,56"
839,2014-01-01,2,Tucumán,"33,94","33,94","0,0"
815,2014-01-01,3,Tucumán,"33,94","35,32","4,07"
791,2014-01-01,4,Tucumán,"35,32","35,08","-0,68"
767,2015-01-01,1,Tucumán,"35,08","35,69","1,74"
743,2015-01-01,2,Tucumán,"35,69","36,61","2,58"
719,2015-01-01,3,Tucumán,"36,61","37,06","1,23"
695,2015-01-01,4,Tucumán,"37,06","36,72","-0,92"
671,2016-01-01,1,Tucumán,"36,72","37,24","1,42"
647,2016-01-01,2,Tucumán,"37,24","37,9","1,77"
623,2016-01-01,3,Tucumán,"37,9","37,98","0,21"
599,2016-01-01,4,Tucumán,"37,98","37,9","-0,21"
575,2017-01-01,1,Tucumán,"37,9","38,19","0,77"
551,2017-01-01,2,Tucumán,"38,19","39,7","3,95"
527,2017-01-01,3,Tucumán,"39,7","39,9","0,5"
503,2017-01-01,4,Tucumán,"39,9","41,18","3,21"
479,2018-01-01,1,Tucumán,"41,18","41,51","0,8"
455,2018-01-01,2,Tucumán,"41,51","41,68","0,41"
431,2018-01-01,3,Tucumán,"41,68","41,76","0,19"
407,2018-01-01,4,Tucumán,"41,76","41,63","-0,31"
383,2019-01-01,1,Tucumán,"41,63","40,14","-3,58"
359,2019-01-01,2,Tucumán,"40,14","39,49","-1,62"
335,2019-01-01,3,Tucumán,"39,49","47,65","20,66"
311,2019-01-01,4,Tucumán,"47,65","47,85","0,42"
287,2020-01-01,1,Tucumán,"47,85","51,78","8,21"
263,2020-01-01,2,Tucumán,"51,78","53,23","2,8"
239,2020-01-01,3,Tucumán,"53,23","54,78","2,91"
215,2020-01-01,4,Tucumán,"54,78","54,82","0,07"
191,2021-01-01,1,Tucumán,"54,82","54,93","0,2"
167,2021-01-01,2,Tucumán,"54,93","54,64","-0,53"
143,2021-01-01,3,Tucumán,"54,64","55,93","2,36"
119,2021-01-01,4,Tucumán,"55,93","57,39","2,61"
95,2022-01-01,1,Tucumán,"57,39","59,31","3,35"
71,2022-01-01,2,Tucumán,"59,31","61,14","3,09"
47,2022-01-01,3,Tucumán,"61,14","61,04","-0,16"
23,2022-01-01,4,Tucumán,"61,04",nan,nan
