,Año,Trimestre,Provincia,Accesos por cada 100 hogares
502,2017-01-01,4,Tierra Del Fuego,59.89
478,2018-01-01,1,Tierra Del Fuego,65.2
454,2018-01-01,2,Tierra Del Fuego,91.61
430,2018-01-01,3,Tierra Del Fuego,92.77
406,2018-01-01,4,Tierra Del Fuego,93.59
382,2019-01-01,1,Tierra Del Fuego,93.38
358,2019-01-01,2,Tierra Del Fuego,94.8
334,2019-01-01,3,Tierra Del Fuego,96.46
310,2019-01-01,4,Tierra Del Fuego,79.7
286,2020-01-01,1,Tierra Del Fuego,76.07
262,2020-01-01,2,Tierra Del Fuego,76.37
238,2020-01-01,3,Tierra Del Fuego,76.81
214,2020-01-01,4,Tierra Del Fuego,76.27
190,2021-01-01,1,Tierra Del Fuego,77.35
166,2021-01-01,2,Tierra Del Fuego,67.89
142,2021-01-01,3,Tierra Del Fuego,94.95
118,2021-01-01,4,Tierra Del Fuego,98.4
94,2022-01-01,1,Tierra Del Fuego,98.29
70,2022-01-01,2,Tierra Del Fuego,99.86
46,2022-01-01,3,Tierra Del Fuego,99.51
22,2022-01-01,4,Tierra Del Fuego,101.44
863,2014-01-01,1,Tucumán,33.42
839,2014-01-01,2,Tucumán,33.94
815,2014-01-01,3,Tucumán,33.94
791,2014-01-01,4,Tucumán,35.32
767,2015-01-01,1,Tucumán,35.08
743,2015-01-01,2,Tucumán,35.69
719,2015-01-01,3,Tucumán,36.61
695,2015-01-01,4,Tucumán,37.06
671,2016-01-01,1,Tucumán,36.72
647,2016-01-01,2,Tucumán,37.24
623,2016-01-01,3,Tucumán,37.9
599,2016-01-01,4,Tucumán,37.98
575,2017-01-01,1,Tucumán,37.9
551,2017-01-01,2,Tucumán,38.19
527,2017-01-01,3,Tucumán,39.7
503,2017-01-01,4,Tucumán,39.9
479,2018-01-01,1,Tucumán,41.18
455,2018-01-01,2,Tucumán,41.51
431,2018-01-01,3,Tucumán,41.68
407,2018-01-01,4,Tucumán,41.76
383,2019-01-01,1,Tucumán,41.63
359,2019-01-01,2,Tucumán,40.14
335,2019-01-01,3,Tucumán,39.49
311,2019-01-01,4,Tucumán,47.65
287,2020-01-01,1,Tucumán,47.85
263,2020-01-01,2,Tucumán,51.78
239,2020-01-01,3,Tucumán,53.23
215,2020-01-01,4,Tucumán,54.78
191,2021-01-01,1,Tucumán,54.82
167,2021-01-01,2,Tucumán,54.93
143,2021-01-01,3,Tucumán,54.64
119,2021-01-01,4,Tucumán,55.93
95,2022-01-01,1,Tucumán,57.39
71,2022-01-01,2,Tucumán,59.31
47,2022-01-01,3,Tucumán,61.14
23,2022-01-01,4,Tucumán,61.04
